year,speciesCode,stratum,percent_diff
2000,21740,41,0.6274724284006595
2000,10210,42,-0.4624197097795891
2000,10261,42,-0.4624197097795908
2000,21720,42,-0.4624197097795986
2000,21740,42,-0.4624197097795913
2000,10210,43,0.20857517110333565
2000,10261,43,0.20857517110333415
2000,21720,43,0.20857517110332655
2000,21740,43,0.20857517110334262
2000,10210,50,NA
2000,10261,50,1.9425009976282375
2000,21720,50,1.9425009976282281
2000,21740,50,1.9425009976282344
2000,10210,61,0.40482979915708456
2000,10261,61,0.4048297991570807
2000,21720,61,0.4048297991570872
2000,21740,61,0.404829799157085
2000,10210,62,NA
2000,10261,62,-0.5116446044438879
2000,21720,62,-0.5116446044438905
2000,21740,62,-0.51164460444389
2000,10210,82,0.0020065188503447955
2000,10261,82,0.002006518850326028
2000,21720,82,0.002006518850331407
2000,21740,82,0.0020065188503315223
2000,10210,90,NA
2000,10261,90,0.24999423704553342
2000,21720,90,0.24999423704551907
2000,21740,90,0.24999423704553209
2001,10210,10,-1.0716141447560914
2001,10261,10,-1.0716141447560972
2001,21720,10,-1.0716141447560852
2001,21740,10,-1.0716141447560785
2001,10210,20,-0.4049825624599693
2001,10261,20,-0.40498256245996667
2001,21720,20,-0.40498256245998077
2001,21740,20,-0.404982562459957
2001,10210,31,-0.47862958523646404
2001,10261,31,-0.4786295852364668
2001,21720,31,-0.47862958523645777
2001,21740,31,-0.4786295852364525
2001,10210,32,-0.8269608769936287
2001,10261,32,-0.8269608769936133
2001,21720,32,-0.8269608769936264
2001,21740,32,-0.8269608769936219
2001,10210,41,0.6274724284006646
2001,10261,41,0.6274724284006598
2001,21720,41,0.6274724284006646
2001,21740,41,0.6274724284006602
2001,10210,42,-0.462419709779591
2001,10261,42,-0.46241970977958524
2001,21720,42,-0.4624197097796002
2001,21740,42,-0.46241970977959346
2001,10210,43,0.2085751711033262
2001,10261,43,0.20857517110333626
2001,21720,43,0.20857517110333068
2001,21740,43,0.2085751711033411
2001,10210,50,1.9425009976282308
2001,10261,50,1.9425009976282397
2001,21720,50,1.9425009976282177
2001,21740,50,1.9425009976282281
2001,10210,61,0.4048297991570816
2001,10261,61,0.40482979915709455
2001,21720,61,0.40482979915708633
2001,21740,61,0.40482979915707856
2001,10210,62,NA
2001,10261,62,-0.5116446044438772
2001,21720,62,-0.5116446044438867
2001,21740,62,-0.5116446044438961
2001,10210,82,0.0020065188503312604
2001,10261,82,0.0020065188503298782
2001,21720,82,0.0020065188503423756
2001,21740,82,0.0020065188503409354
2001,10210,90,NA
2001,10261,90,0.2499942370455234
2001,21720,90,0.24999423704551677
2001,21740,90,0.24999423704553483
2002,10210,10,-1.0716141447560923
2002,10261,10,-1.0716141447560896
2002,21720,10,-1.071614144756095
2002,21740,10,-1.0716141447560883
2002,10210,20,-0.40498256245996805
2002,10261,20,-0.4049825624599679
2002,21720,20,-0.4049825624599602
2002,21740,20,-0.4049825624599575
2002,10210,31,-0.47862958523646426
2002,10261,31,-0.47862958523645976
2002,21720,31,-0.4786295852364592
2002,21740,31,-0.4786295852364474
2002,10210,32,-0.8269608769936263
2002,10261,32,-0.8269608769936198
2002,21720,32,-0.8269608769936179
2002,21740,32,-0.8269608769936364
2002,10210,41,0.6274724284006632
2002,10261,41,0.6274724284006593
2002,21720,41,0.627472428400679
2002,21740,41,0.6274724284006673
2002,10210,42,-0.4624197097795962
2002,10261,42,-0.4624197097795884
2002,21720,42,-0.4624197097795957
2002,21740,42,-0.4624197097795949
2002,10210,43,0.20857517110332938
2002,10261,43,0.20857517110334348
2002,21720,43,0.20857517110334184
2002,21740,43,0.20857517110332313
2002,10210,50,1.9425009976282372
2002,10261,50,1.942500997628231
2002,21720,50,1.9425009976282355
2002,21740,50,1.9425009976282346
2002,10210,61,NA
2002,10261,61,0.40482979915708744
2002,21720,61,0.4048297991570929
2002,21740,61,0.40482979915707157
2002,10210,62,NA
2002,10261,62,-0.5116446044438913
2002,21720,62,-0.5116446044439046
2002,21740,62,-0.5116446044438951
2002,10210,82,0.0020065188503319846
2002,10261,82,0.0020065188503435726
2002,21720,82,0.0020065188503319703
2002,21740,82,0.002006518850336689
2002,10210,90,NA
2002,10261,90,0.24999423704552334
2002,21720,90,0.24999423704553528
2002,21740,90,0.24999423704553056
2003,10210,10,-1.071614144756094
2003,10261,10,-1.0716141447561027
2003,21720,10,-1.0716141447560932
2003,21740,10,-1.071614144756087
2003,10210,20,-0.40498256245994935
2003,10261,20,-0.40498256245996955
2003,21720,20,-0.4049825624599672
2003,21740,20,-0.40498256245997416
2003,10210,31,-0.4786295852364667
2003,10261,31,-0.47862958523645577
2003,21720,31,-0.4786295852364527
2003,21740,31,-0.4786295852364589
2003,10210,32,-0.8269608769936141
2003,10261,32,-0.826960876993634
2003,21720,32,-0.826960876993634
2003,21740,32,-0.8269608769936345
2003,10210,41,0.6274724284006616
2003,10261,41,0.62747242840067
2003,21720,41,0.62747242840067
2003,21740,41,0.6274724284006693
2003,10210,42,-0.46241970977961266
2003,10261,42,-0.4624197097796041
2003,21720,42,-0.46241970977959607
2003,21740,42,-0.46241970977958713
2003,10210,43,0.20857517110334045
2003,10261,43,0.2085751711033422
2003,21720,43,0.20857517110333265
2003,21740,43,0.20857517110333293
2003,10210,50,1.942500997628232
2003,10261,50,1.9425009976282324
2003,21720,50,1.9425009976282346
2003,21740,50,1.942500997628231
2003,10210,61,NA
2003,10261,61,0.4048297991570883
2003,21720,61,0.4048297991570799
2003,21740,61,0.40482979915708356
2003,10210,62,NA
2003,10261,62,-0.5116446044438968
2003,21720,62,-0.511644604443879
2003,21740,62,-0.5116446044438911
2003,10210,82,0.0020065188503340025
2003,10261,82,0.0020065188503386967
2003,21720,82,0.0020065188503277233
2003,21740,82,0.0020065188503277835
2003,10210,90,NA
2003,10261,90,0.24999423704553173
2003,21720,90,0.2499942370455219
2003,21740,90,0.24999423704553936
2004,10210,10,-1.0716141447560845
2004,10261,10,-1.071614144756084
2004,21720,10,-1.071614144756093
2004,21740,10,-1.071614144756096
2004,10210,20,-0.40498256245996883
2004,10261,20,-0.40498256245996184
2004,21720,20,-0.4049825624599663
2004,21740,20,-0.4049825624599674
2004,10210,31,-0.47862958523645954
2004,10261,31,-0.4786295852364568
2004,21720,31,-0.47862958523646115
2004,21740,31,-0.4786295852364618
2004,10210,32,-0.8269608769936199
2004,10261,32,-0.8269608769936236
2004,21720,32,-0.8269608769936115
2004,21740,32,-0.8269608769936313
2004,10210,41,0.6274724284006612
2004,10261,41,0.6274724284006549
2004,21720,41,0.6274724284006661
2004,21740,41,0.6274724284006735
2004,10210,42,-0.4624197097795998
2004,10261,42,-0.4624197097795953
2004,21720,42,-0.4624197097796051
2004,21740,42,-0.46241970977957925
2004,10210,43,0.20857517110333354
2004,10261,43,0.20857517110332316
2004,21720,43,0.2085751711033276
2004,21740,43,0.20857517110331994
2004,10210,50,1.942500997628232
2004,10261,50,1.9425009976282364
2004,21720,50,1.9425009976282257
2004,21740,50,1.9425009976282208
2004,10210,61,0.40482979915708506
2004,10261,61,0.40482979915707784
2004,21720,61,0.4048297991570917
2004,21740,61,0.4048297991570895
2004,10210,62,-0.5116446044438834
2004,10261,62,-0.5116446044439001
2004,21720,62,-0.5116446044439029
2004,21740,62,-0.5116446044438867
2004,10210,82,0.0020065188503393095
2004,10261,82,0.002006518850330176
2004,21720,82,0.002006518850319995
2004,21740,82,0.0020065188503471353
2004,10210,90,NA
2004,10261,90,0.24999423704553192
2004,21720,90,0.24999423704552903
2004,21740,90,0.24999423704551854
2005,10210,10,-1.0716141447560896
2005,10261,10,-1.0716141447560965
2005,21720,10,-1.0716141447560825
2005,21740,10,-1.0716141447560972
2005,10210,20,-0.4049825624599731
2005,10261,20,-0.4049825624599483
2005,21720,20,-0.40498256245995956
2005,21740,20,-0.4049825624599746
2005,10210,31,-0.47862958523645394
2005,10261,31,-0.4786295852364582
2005,21720,31,-0.4786295852364517
2005,21740,31,-0.4786295852364524
2005,10210,32,-0.8269608769936286
2005,10261,32,-0.8269608769936297
2005,21720,32,-0.8269608769936152
2005,21740,32,-0.8269608769936178
2005,10210,41,0.6274724284006631
2005,10261,41,0.6274724284006773
2005,21720,41,0.6274724284006791
2005,21740,41,0.6274724284006732
2005,10210,42,-0.4624197097795888
2005,10261,42,-0.46241970977960795
2005,21720,42,-0.4624197097796072
2005,21740,42,-0.4624197097795988
2005,10210,43,0.2085751711033428
2005,10261,43,0.20857517110334398
2005,21720,43,0.20857517110333726
2005,21740,43,0.2085751711033439
2005,10210,50,1.942500997628237
2005,10261,50,1.9425009976282273
2005,21720,50,1.9425009976282335
2005,21740,50,1.9425009976282464
2005,10210,61,0.40482979915707673
2005,10261,61,0.4048297991570834
2005,21720,61,0.40482979915708445
2005,21740,61,0.4048297991570894
2005,10210,62,NA
2005,10261,62,-0.5116446044438807
2005,21720,62,-0.5116446044438971
2005,21740,62,-0.5116446044438984
2005,10210,82,0.002006518850329995
2005,10261,82,0.0020065188503433605
2005,21720,82,0.0020065188503461872
2005,21740,82,0.002006518850323703
2005,10210,90,0.249994237045522
2005,10261,90,0.2499942370455289
2005,21720,90,0.2499942370455301
2005,21740,90,0.24999423704552368
2006,10210,10,-1.0716141447560905
2006,10261,10,-1.0716141447560936
2006,21720,10,-1.071614144756084
2006,21740,10,-1.0716141447561003
2006,10210,20,-0.4049825624599518
2006,10261,20,-0.40498256245995673
2006,21720,20,-0.4049825624599652
2006,21740,20,-0.40498256245995645
2006,10210,31,-0.47862958523646554
2006,10261,31,-0.4786295852364582
2006,21720,31,-0.47862958523644494
2006,21740,31,-0.4786295852364528
2006,10210,32,-0.8269608769936289
2006,10261,32,-0.8269608769936175
2006,21720,32,-0.8269608769936339
2006,21740,32,-0.8269608769936255
2006,10210,41,0.6274724284006593
2006,10261,41,0.6274724284006847
2006,21720,41,0.6274724284006519
2006,21740,41,0.6274724284006689
2006,10210,42,-0.46241970977959757
2006,10261,42,-0.4624197097795882
2006,21720,42,-0.46241970977959435
2006,21740,42,-0.46241970977959457
2006,10210,43,0.20857517110332868
2006,10261,43,0.20857517110333232
2006,21720,43,0.2085751711033253
2006,21740,43,0.2085751711033247
2006,10210,50,1.9425009976282317
2006,10261,50,1.9425009976282317
2006,21720,50,1.9425009976282237
2006,21740,50,1.9425009976282301
2006,10210,61,NA
2006,10261,61,0.4048297991570902
2006,21720,61,0.4048297991570928
2006,21740,61,0.40482979915709094
2006,10210,62,NA
2006,10261,62,-0.5116446044439031
2006,21720,62,-0.5116446044438845
2006,21740,62,-0.5116446044438953
2006,10210,82,0.0020065188503254152
2006,10261,82,0.002006518850322296
2006,21720,82,0.002006518850333937
